name,address,link,type of education,n_students,neighborhood,type,School Target,Other_schools_target,School fundamental,Other_schools_fundamental
Openbare Basisschool Toermalijn,Randhoornweg 35,/basisscholen/uithoorn/10523/openbare-basisschool-toermalijn/,Openbaar Basisonderwijs185,185.0,Uithoorn,Basic School,63.8,58.3,94.3,95.4
OBS De Kajuit,Eendracht 2,/basisscholen/uithoorn/10526/obs-de-kajuit/,Openbaar Basisonderwijs175,175.0,Uithoorn,Basic School,63.6,62.0,92.4,96.4
Openbare Basisschool Brunwerd,Oude Tilsterweg 2 b,/basisscholen/uithuizen/4683/openbare-basisschool-brunwerd/,Openbaar Basisonderwijs135,135.0,Uithuizen,Basic School,40.6,52.4,89.1,93.6
Christelijke Basisschool Koning Willem-Alexander,Oude Tilsterweg 2,/basisscholen/uithuizen/5952/christelijke-basisschool-koning-willem-alexander/,Prot. christelijk,92.0,Uithuizen,Basic School,70.3,58.4,96.4,95.4
Rooms Katholieke Basisschool De Schelp,Oude Tilsterweg 2c,/basisscholen/uithuizen/11528/rooms-katholieke-basisschool-de-schelp/,Katholiek Basisonderwijs101,101.0,Uithuizen,Basic School,41.4,55.8,90.1,94.7
NBS De Sterren,Willem de Merodelaan 5,/basisscholen/uithuizermeeden/25804/nbs-de-sterren/,Algemeen bijzonder,52.0,Uithuizermeeden,Basic School,61.5,49.0,96.2,92.6
C B S  De Noordkaap,Willem de Merodelaan 1,/basisscholen/uithuizermeeden/9868/c-b-s-de-noordkaap/,Prot. christelijk,148.0,Uithuizermeeden,Basic School,46.8,58.4,90.6,95.4
Basisschool Het Prisma -school met de Bijbel,Langelandsterweg 1,/basisscholen/uithuizermeeden/25465/basisschool-het-prisma-school-met-de-bijbel/,Prot. christelijk,118.0,Uithuizermeeden,Basic School,56.0,58.4,95.6,95.4
Basisschool de Triangel,Kasteelstraat 22,/basisscholen/ulestraten/6464/basisschool-de-triangel/,Katholiek Basisonderwijs169,169.0,Ulestraten,Basic School,84.8,61.1,100.0,96.0
Openbare Basisschool De Woelwaters,Middelgraaf 46,/basisscholen/ulft/26351/openbare-basisschool-de-woelwaters/,Openbaar Basisonderwijs224,224.0,Ulft,Basic School,53.7,57.9,94.8,95.3
Kindcentrum Oersprong,Wilgenstraat 6,/basisscholen/ulft/7843/kindcentrum-oersprong/,Katholiek Basisonderwijs235,235.0,Ulft,Basic School,51.2,51.0,91.2,92.9
RK Mariaschool,Neptunus 8,/basisscholen/ulft/7845/rk-mariaschool/,Katholiek Basisonderwijs287,287.0,Ulft,Basic School,59.9,58.3,94.3,95.4
Basisschool Bernardus,Bernardusstraat 13,/basisscholen/ulicoten/8954/basisschool-bernardus/,Katholiek Basisonderwijs68,68.0,Ulicoten,Basic School,39.5,58.4,98.8,95.4
Hendrik de Cockschool,Borgweg 46 A,/basisscholen/ulrum/9874/hendrik-de-cockschool/,Prot. christelijk,75.0,Ulrum,Basic School,58.3,52.4,94.0,93.6
Kbs De Rosmolen,De Roskam 50,/basisscholen/ulvenhout-gem-breda/10102/kbs-de-rosmolen/,Katholiek Basisonderwijs218,218.0,Ulvenhout (Gem. Breda),Basic School,72.8,66.8,98.5,97.0
Openbare Basisschool De Klokkebei,Sterstraat 1,/basisscholen/ulvenhout-gem-breda/11258/openbare-basisschool-de-klokkebei/,Openbaar Basisonderwijs305,305.0,Ulvenhout (Gem. Breda),Basic School,78.3,73.0,99.8,97.9
Basisschool de Twirre,De Skeauwen 18,/basisscholen/ureterp/24803/basisschool-de-twirre/,Openbaar Basisonderwijs50,50.0,Ureterp,Basic School,41.7,52.4,92.9,93.6
Basisschool De Verbinding,Foareker 54,/basisscholen/ureterp/24671/basisschool-de-verbinding/,Prot. christelijk,117.0,Ureterp,Basic School,70.8,58.3,96.4,95.4
Christelijke Basisschool De Opdracht,Foareker 21,/basisscholen/ureterp/26377/christelijke-basisschool-de-opdracht/,Prot. christelijk,278.0,Ureterp,Basic School,60.8,61.1,94.4,96.0
Obadjaschool,Vlechttuinen 4,/basisscholen/urk/25228/obadjaschool/,Prot. christelijk,51.0,Urk,Basic School,,,,
GBS De Vuurbaak,Almerelaan 18,/basisscholen/urk/6906/gbs-de-vuurbaak/,Prot. christelijk,164.0,Urk,Basic School,46.5,55.3,86.2,94.4
Johannes Calvijnschool,Almerelaan 19,/basisscholen/urk/11633/johannes-calvijnschool/,Prot. christelijk,214.0,Urk,Basic School,58.9,51.0,98.8,92.9
Dr Maarten Luther,Lange Dam 27,/basisscholen/urk/11635/dr-maarten-luther/,Prot. christelijk,192.0,Urk,Basic School,42.1,51.0,96.4,92.9
Dominee E du Marchie van Voorthuysen Basisschool,Munnikplaat 8,/basisscholen/urk/11636/dominee-e-du-marchie-van-voorthuysen-basisschool/,Prot. christelijk,176.0,Urk,Basic School,50.2,51.0,94.9,92.9
Petrus Dathenusschool,Vlechttuinen 3,/basisscholen/urk/7837/petrus-dathenusschool/,Prot. christelijk,294.0,Urk,Basic School,57.5,55.3,96.6,94.4
Basisschool Wilhelmina,Almerelaan 16,/basisscholen/urk/7881/basisschool-wilhelmina/,Prot. christelijk,241.0,Urk,Basic School,68.5,52.4,98.6,93.6
Basisschool De Regenboog,Boterbloemstraat 23,/basisscholen/urk/7882/basisschool-de-regenboog/,Prot. christelijk,183.0,Urk,Basic School,66.2,50.4,94.6,92.8
Basisschool C. Zeeman,Middelbuurt 118,/basisscholen/urk/7883/basisschool-c-zeeman/,Prot. christelijk,270.0,Urk,Basic School,52.3,52.4,90.3,93.6
Basisschool Pr Beatrix,De Lier 2,/basisscholen/urk/11679/basisschool-pr-beatrix/,Prot. christelijk,380.0,Urk,Basic School,48.7,51.5,91.5,93.2
