,name,address,link,details,n_students,neighborhood,type
7653,RKBS Sint Barbaraschool,Dorpsstraat 35,/basisscholen/tuitjenhorn/8143/rkbs-sint-barbaraschool/,KatholiekBasisonderwijs311 leerlingen,311,Tuitjenhorn,Basic School
7654,bs 't PuzzelsTuk,JHW Pasmanweg 2,/basisscholen/tuk/23903/bs-t-puzzelstuk/,Algemeen bijzonderBasisonderwijs91 leerlingen,91,Tuk,Basic School
7655,Het Mozaïek Waalseweg,Waalseweg 58,/basisscholen/tull-en-t-waal/10496/het-mozaiek-waalseweg/,Prot. christelijkBasisonderwijs30 leerlingen,30,Tull en 't Waal,Basic School
7656,Openbare Basisschool de Hietweide,Jachtlustplein 30b,/basisscholen/twello/6665/openbare-basisschool-de-hietweide/,OpenbaarBasisonderwijs129 leerlingen,129,Twello,Basic School
7657,Basisschool Martinus,Kerklaan 12,/basisscholen/twello/7648/basisschool-martinus/,KatholiekBasisonderwijs363 leerlingen,363,Twello,Basic School
7658,De Kleine Wereld,Jachtlustplein 30C,/basisscholen/twello/11452/de-kleine-wereld/,KatholiekBasisonderwijs178 leerlingenDalton,178,Twello,Basic School
7659,De Oase,Jachtlustplein 30 a,/basisscholen/twello/11543/de-oase/,Prot. christelijkBasisonderwijs191 leerlingen,191,Twello,Basic School
7660,De Wingerd,H.W. Iordensweg 9,/basisscholen/twello/7745/de-wingerd/,Prot. christelijkBasisonderwijs206 leerlingen,206,Twello,Basic School
7661,CBS de Oanrin,Piterpolle 29,/basisscholen/twijzel/9586/cbs-de-oanrin/,Prot. christelijkBasisonderwijs75 leerlingen,75,Twijzel,Basic School
7662,Christelijke Basisschool De Reinboge,Skoalstrjitte 1,/basisscholen/twijzelerheide/5706/christelijke-basisschool-de-reinboge/,Prot. christelijkBasisonderwijs139 leerlingen,139,Twijzelerheide,Basic School
7663,It Twaspan,Skoalstrjitte 4,/basisscholen/twijzelerheide/10371/it-twaspan/,OpenbaarBasisonderwijs47 leerlingen,47,Twijzelerheide,Basic School
7664,Basisschool de Klaverwoid,Beukenlaan 79,/basisscholen/twisk/10148/basisschool-de-klaverwoid/,OpenbaarBasisonderwijs74 leerlingen,74,Twisk,Basic School
7665,IKC Het Oelebred,Rozenstraat 18,/basisscholen/tynaarlo/11189/ikc-het-oelebred/,OpenbaarBasisonderwijs131 leerlingen,131,Tynaarlo,Basic School
7666,Ontmoetingsschool de Romte,Reidfjild 4,/basisscholen/tytsjerk/7095/ontmoetingsschool-de-romte/,SamenwerkingBasisonderwijs132 leerlingen,132,Tytsjerk,Basic School
7667,IKC Staetlânskoalle,Smidsreed 8,/basisscholen/tzum/23311/ikc-staetlanskoalle/,Prot. christelijkBasisonderwijs87 leerlingen,87,Tzum,Basic School
7668,Waadwizer,Johan Roordastrjitte 41,/basisscholen/tzummarum/25126/waadwizer/,SamenwerkingBasisonderwijs94 leerlingen,94,Tzummarum,Basic School
7669,De Berg,Hengstdal 2,/basisscholen/ubbergen/5109/de-berg/,Algemeen bijzonderSpeciaal onderwijs97 leerlingen,97,Ubbergen,Basic School
7670,St. Maartenschool,Hengstdal 3,/basisscholen/ubbergen/25665/st-maartenschool/,KatholiekSpeciaal onderwijs199 leerlingen,199,Ubbergen,Basic School
7671,Basisschool Rehoboth,Het Drie 21 -23,/basisscholen/uddel/5122/basisschool-rehoboth/,Prot. christelijkBasisonderwijs258 leerlingen,258,Uddel,Basic School
7672,Christelijke Basisschool Prins Willem Alexander,Uddelsekampweg 1,/basisscholen/uddel/9375/christelijke-basisschool-prins-willem-alexander/,Prot. christelijkBasisonderwijs115 leerlingen,115,Uddel,Basic School
7673,Bedir,Klarinetstraat 4,/basisscholen/uden/5021/bedir/,Confessioneel overigBasisonderwijs106 leerlingen,106,Uden,Basic School
7674,Dalton kindcentrum Marimba,Steenovenstraat 2,/basisscholen/uden/8973/dalton-kindcentrum-marimba/,KatholiekBasisonderwijs197 leerlingenDalton,197,Uden,Basic School
7675,Kindcentrum Aventurijn Onderwijs-Opvang-Sociaal domein,St. Annastraat 17,/basisscholen/uden/8976/kindcentrum-aventurijn-onderwijs-opvang-sociaal-domein/,KatholiekBasisonderwijs177 leerlingen,177,Uden,Basic School
7676,Basisschool De Palster,Germenzeel 500,/basisscholen/uden/5101/basisschool-de-palster/,KatholiekBasisonderwijs119 leerlingen,119,Uden,Basic School
7677,IKC Raam,Bosveld 118,/basisscholen/uden/8977/ikc-raam/,KatholiekBasisonderwijs265 leerlingen,265,Uden,Basic School
7678,Basisschool Het Speleon,Klarinetstraat 4,/basisscholen/uden/8978/basisschool-het-speleon/,KatholiekBasisonderwijs158 leerlingen,158,Uden,Basic School
7679,Basisschool 't Centrum,Meerloseweg 1,/basisscholen/uden/5102/basisschool-t-centrum/,KatholiekBasisonderwijs117 leerlingen,117,Uden,Basic School
7680,Basisschool De Vlonder,Heufkens 502,/basisscholen/uden/5103/basisschool-de-vlonder/,KatholiekBasisonderwijs225 leerlingen,225,Uden,Basic School
7681,RK School voor Speciaal Basisonderwijs De Tandem,Ereprijsstraat 1,/basisscholen/uden/5104/rk-school-voor-speciaal-basisonderwijs-de-tandem/,KatholiekSpeciaal basisonderwijs73 leerlingen,73,Uden,Basic School
7682,Basisschool Vindingrijk,Horgetouw 1,/basisscholen/uden/5105/basisschool-vindingrijk/,SamenwerkingBasisonderwijs233 leerlingen,233,Uden,Basic School
7683,Basisschool 't Mulderke,Wislaan 219,/basisscholen/uden/5106/basisschool-t-mulderke/,KatholiekBasisonderwijs428 leerlingen,428,Uden,Basic School
7684,Speelleercentrum De Wijde Wereld,Helmteken 24,/basisscholen/uden/8979/speelleercentrum-de-wijde-wereld/,KatholiekBasisonderwijs339 leerlingen,339,Uden,Basic School
7685,Vrije Basisschool De Zevenster,Bronkhorstsingel 7,/basisscholen/uden/9830/vrije-basisschool-de-zevenster/,Algemeen bijzonderBasisonderwijs231 leerlingenVrijeschool,231,Uden,Basic School
7686,Sterrenkijker Uden,Aldetiendstraat 17,/basisscholen/uden/11433/sterrenkijker-uden/,Algemeen bijzonderSpeciaal onderwijs80 leerlingen,80,Uden,Basic School
