name,address,link,details,n_students,neighborhood,type
Plaswijckschool,Weerestein 37 -39,/basisscholen/gouda/5855/plaswijckschool/,Prot. christelijk,171.0,Gouda,Basic School
Wilhelminaschool,Willem de Zwijgersingel 220,/basisscholen/gouda/25713/wilhelminaschool/,Prot. christelijk,120.0,Gouda,Basic School
Kindcentrum Goejanverwelle,Chopinstraat 10,/basisscholen/gouda/9749/kindcentrum-goejanverwelle/,Prot. christelijk,226.0,Gouda,Basic School
Auris Taalplein,Willem en Marialaan 1,/basisscholen/gouda/23840/auris-taalplein/,Algemeen bijzonder,97.0,Gouda,Basic School
De Carrousel,Scholenpad 2-4,/basisscholen/gouda/26662/de-carrousel/,Openbaar Basisonderwijs254,254.0,Gouda,Basic School
obs De Kranepoort,J. Huurmanlaan 8,/basisscholen/gouderak/10095/obs-de-kranepoort/,Openbaar Basisonderwijs89,89.0,Gouderak,Basic School
De Bron,J. Huurmanlaan 10,/basisscholen/gouderak/10508/de-bron/,Prot. christelijk,100.0,Gouderak,Basic School
Christelijke Basisschool de Fakkel,Noordzijde 47,/basisscholen/goudriaan/24775/christelijke-basisschool-de-fakkel/,Prot. christelijk,91.0,Goudriaan,Basic School
School Met De Bijbel,Koningin Julianastraat 25,/basisscholen/goudswaard/22531/school-met-de-bijbel/,Prot. christelijk,57.0,Goudswaard,Basic School
De Gouwaert,Nicolaas van Puttenstr 20,/basisscholen/goudswaard/10232/de-gouwaert/,Openbaar Basisonderwijs61,61.0,Goudswaard,Basic School
IKC Wiarda,Buorren 13,/basisscholen/goutum/7333/ikc-wiarda/,Openbaar Basisonderwijs261,261.0,Goutum,Basic School
Ter Doest,Jacintastraat 1,/basisscholen/graauw/5461/ter-doest/,Katholiek Basisonderwijs51,51.0,Graauw,Basic School
"School met de Bijbel ""het Visnet""",Grafhorsterweg 34 D,/basisscholen/grafhorst/11499/school-met-de-bijbel-het-visnet/,Prot. christelijk,192.0,Grafhorst,Basic School
Kindcentrum De Akker,Goudenregenstraat 75,/basisscholen/gramsbergen/9466/kindcentrum-de-akker/,Prot. christelijk,203.0,Gramsbergen,Basic School
Openbare Basisschool Prinses Irene,Hattemattestraat 7,/basisscholen/gramsbergen/6877/openbare-basisschool-prinses-irene/,Openbaar Basisonderwijs63,63.0,Gramsbergen,Basic School
Basisschool De Horizon,Past. Kengenstraat 1,/basisscholen/grashoek/7799/basisschool-de-horizon/,Katholiek Basisonderwijs112,112.0,Grashoek,Basic School
Basisschool de Klink,Nassauplein 6,/basisscholen/grathem/8703/basisschool-de-klink/,Katholiek Basisonderwijs104,104.0,Grathem,Basic School
Basisschool Hartenaas,Gasthuishoeve 3,/basisscholen/grave/10224/basisschool-hartenaas/,Openbaar Basisonderwijs138,138.0,Grave,Basic School
Koninklijke Visio Onderwijs Grave,Jan van Cuykdijk 1,/basisscholen/grave/11354/koninklijke-visio-onderwijs-grave/,Algemeen bijzonder,34.0,Grave,Basic School
Jenaplanschool De Wegwijzer,Burgemeester Ficqlaan 4,/basisscholen/grave/11617/jenaplanschool-de-wegwijzer/,Prot. christelijk,46.0,Grave,Basic School
Basisschool De Sprankel,Gasthuishoeve 1,/basisscholen/grave/7822/basisschool-de-sprankel/,Katholiek Basisonderwijs178,178.0,Grave,Basic School
Basisschool De Raamdonk,Burgemeester Ficqlaan 4,/basisscholen/grave/7827/basisschool-de-raamdonk/,Katholiek Basisonderwijs234,234.0,Grave,Basic School
Basisschool De Kingbeek,Sint Catharinaplantsoen 4,/basisscholen/grevenbicht/12252/basisschool-de-kingbeek/,Samenwerking Basisonderwijs260,260.0,Grevenbicht,Basic School
Basisschool De Driehoek,Helenaveenseweg 52,/basisscholen/griendtsveen/11594/basisschool-de-driehoek/,Katholiek Basisonderwijs41,41.0,Griendtsveen,Basic School
cbs De Borgstee,de Singel 11,/basisscholen/grijpskerk/10614/cbs-de-borgstee/,Prot. christelijk,193.0,Grijpskerk,Basic School
Basisschool De Triangel,Kievitsweg 2 k,/basisscholen/grijpskerk/25032/basisschool-de-triangel/,Openbaar Basisonderwijs85,85.0,Grijpskerk,Basic School
De Bergpadschool,Bergpad 1,/basisscholen/grijpskerke/5616/de-bergpadschool/,Prot. christelijk,86.0,Grijpskerke,Basic School
Basisschool De Meerstromen,Monnikenstraat 3,/basisscholen/groede/26494/basisschool-de-meerstromen/,Confessioneel overig,77.0,Groede,Basic School
Groenekanse Schoolvereniging De Nijepoort,Versteeglaan 144,/basisscholen/groenekan/12178/groenekanse-schoolvereniging-de-nijepoort/,Algemeen bijzonder,162.0,Groenekan,Basic School
Basisschool St Ludgerus,Meddoseweg 21,/basisscholen/groenlo/9348/basisschool-st-ludgerus/,Katholiek Basisonderwijs43,43.0,Groenlo,Basic School
Basisschool De Ni-je Veste,Buitenschans 7,/basisscholen/groenlo/5478/basisschool-de-ni-je-veste/,Katholiek Basisonderwijs171,171.0,Groenlo,Basic School
Basisschool Sint Willibrordus,Admiraal Helfrichplein 2,/basisscholen/groenlo/5479/basisschool-sint-willibrordus/,Katholiek Basisonderwijs126,126.0,Groenlo,Basic School
Basisschool 't Carillon,Wheme 30,/basisscholen/groenlo/5480/basisschool-t-carillon/,Katholiek Basisonderwijs188,188.0,Groenlo,Basic School
Basisschool De Hoeksteen,Biss Philip Roveniusstr 8,/basisscholen/groenlo/7222/basisschool-de-hoeksteen/,Prot. christelijk,168.0,Groenlo,Basic School
RK School voor Speciaal Basisonderwijs Carolus,Cranenburgsestraat 112 C,/basisscholen/groesbeek/7500/rk-school-voor-speciaal-basisonderwijs-carolus/,Katholiek Speciaal,52.0,Groesbeek,Basic School
Christelijke Jenaplanschool Adelbrecht Windekind,Cranenburgsestraat 112 A,/basisscholen/groesbeek/11316/christelijke-jenaplanschool-adelbrecht-windekind/,Samenwerking Basisonderwijs223,223.0,Groesbeek,Basic School
Openbare Basisschool De Sieppe,Paulus Potterweg 79,/basisscholen/groesbeek/7502/openbare-basisschool-de-sieppe/,Openbaar Basisonderwijs200,200.0,Groesbeek,Basic School
10-15 Agora,Spoorlaan 16,/basisscholen/groesbeek/26510/10-15-agora/,Openbaar Basisonderwijs17,17.0,Groesbeek,Basic School
Basisschool Op de Heuvel,Ericastraat 39,/basisscholen/groesbeek/7503/basisschool-op-de-heuvel/,Katholiek Basisonderwijs121,121.0,Groesbeek,Basic School
Kindcentrum Op De Horst,Plakseweg 3,/basisscholen/groesbeek/11317/kindcentrum-op-de-horst/,Katholiek Basisonderwijs208,208.0,Groesbeek,Basic School
Basisschool Breedeweg,Schoolweg 23,/basisscholen/groesbeek/11318/basisschool-breedeweg/,Katholiek Basisonderwijs147,147.0,Groesbeek,Basic School
Basisschool 't Vossenhol,van Ruysdaelweg 8,/basisscholen/groesbeek/11319/basisschool-t-vossenhol/,Katholiek Basisonderwijs205,205.0,Groesbeek,Basic School
IKC Joannes,Kerkakkers 4,/basisscholen/groessen/11309/ikc-joannes/,Katholiek Basisonderwijs142,142.0,Groessen,Basic School
Basisschool Het Klimduin,Korhoendersweg 4,/basisscholen/groet/8146/basisschool-het-klimduin/,Algemeen bijzonder,78.0,Groet,Basic School
Basisschool De Drift,de Pol 4 A,/basisscholen/grolloo/11301/basisschool-de-drift/,Openbaar Basisonderwijs76,76.0,Grolloo,Basic School
Christelijke school voor Speciaal Basisonderwijs Fiduciaschool,Distributiestraat 1,/basisscholen/groningen/9371/christelijke-school-voor-speciaal-basisonderwijs-fiduciaschool/,Prot. christelijk,190.0,Groningen,Basic School
De Wingerd,De Verbetering 5,/basisscholen/groningen/9372/de-wingerd/,Prot. christelijk,57.0,Groningen,Basic School
School voor Speciaal Basisonderwijs De Kimkiel,Kluiverboom 9,/basisscholen/groningen/9374/school-voor-speciaal-basisonderwijs-de-kimkiel/,Prot. christelijk,184.0,Groningen,Basic School
Groningse Schoolvereniging,Sweelincklaan 4,/basisscholen/groningen/5786/groningse-schoolvereniging/,Algemeen bijzonder,837.0,Groningen,Basic School
Prof W J Bladergroenschool Groningen,Donderslaan 157,/basisscholen/groningen/10129/prof-w-j-bladergroenschool-groningen/,Algemeen bijzonder,101.0,Groningen,Basic School
Ref Basisschool de Zaaier,Dierenriemstraat 2 A,/basisscholen/groningen/11108/ref-basisschool-de-zaaier/,Prot. christelijk,60.0,Groningen,Basic School
De Pendinghe,Eikenlaan 288-7,/basisscholen/groningen/11323/de-pendinghe/,Openbaar Basisonderwijs242,242.0,Groningen,Basic School
Openbare basisschool De Sterrensteen,Siersteenlaan 480,/basisscholen/groningen/11324/openbare-basisschool-de-sterrensteen/,Openbaar Basisonderwijs229,229.0,Groningen,Basic School
Openbare Basisschool Karrepad,Molukkenstraat 1,/basisscholen/groningen/11325/openbare-basisschool-karrepad/,Openbaar Basisonderwijs384,384.0,Groningen,Basic School
IKC Borgman Oosterpark,Klaprooslaan 204,/basisscholen/groningen/7520/ikc-borgman-oosterpark/,Openbaar Basisonderwijs343,343.0,Groningen,Basic School
Oosterhoogebrugschool,Madeliefstraat 2,/basisscholen/groningen/7521/oosterhoogebrugschool/,Openbaar Basisonderwijs331,331.0,Groningen,Basic School
Basisschool Beijumkorf,Jaltadaheerd 53,/basisscholen/groningen/7522/basisschool-beijumkorf/,Openbaar Basisonderwijs363,363.0,Groningen,Basic School
De Vuurtoren,Vaargeul 117 -118,/basisscholen/groningen/11327/de-vuurtoren/,Openbaar Basisonderwijs249,249.0,Groningen,Basic School
Jenaplanbasisschool de Swoaistee,Kiel 7,/basisscholen/groningen/11328/jenaplanbasisschool-de-swoaistee/,Openbaar Basisonderwijs415,415.0,Groningen,Basic School
IKC Borgman Ebbinge,Langestraat 10,/basisscholen/groningen/11329/ikc-borgman-ebbinge/,Openbaar Basisonderwijs283,283.0,Groningen,Basic School
Basisschool Borgman IKC Oosterpoort,Warmoesstraat 18,/basisscholen/groningen/7524/basisschool-borgman-ikc-oosterpoort/,Openbaar Basisonderwijs231,231.0,Groningen,Basic School
Boerhaave School,Veenweg 1 -1,/basisscholen/groningen/7525/boerhaave-school/,Openbaar Basisonderwijs183,183.0,Groningen,Basic School
Bredero-School,Ina Boudierplantsoen 3,/basisscholen/groningen/7526/bredero-school/,Openbaar Basisonderwijs472,472.0,Groningen,Basic School
Joseph Haydn-School,Haydnlaan 102,/basisscholen/groningen/11330/joseph-haydn-school/,Openbaar Basisonderwijs660,660.0,Groningen,Basic School
De Ploeg,Zuiderweg 70 -3,/basisscholen/groningen/7527/de-ploeg/,Openbaar Basisonderwijs215,215.0,Groningen,Basic School
Basisschool Sint Martinus,Gronsvelder Kerkplein 8,/basisscholen/gronsveld/23433/basisschool-sint-martinus/,Katholiek Basisonderwijs173,173.0,Gronsveld,Basic School
Basisschool De Ammers,Lijsterstraat 35 B,/basisscholen/groot-ammers/10808/basisschool-de-ammers/,Openbaar Basisonderwijs116,116.0,Groot-Ammers,Basic School
Basisschool Rehoboth,Roerdompstraat 29,/basisscholen/groot-ammers/11414/basisschool-rehoboth/,Prot. christelijk,172.0,Groot-Ammers,Basic School
Basisschool Eben Haezer,Irenestraat 140,/basisscholen/groot-ammers/7611/basisschool-eben-haezer/,Prot. christelijk,158.0,Groot-Ammers,Basic School
"obs 't Vierspan, locatie De Woud",Kloosterpoort 3,/basisscholen/grootebroek/4662/obs-t-vierspan-locatie-de-woud/,Openbaar Basisonderwijs234,234.0,Grootebroek,Basic School
Uilenburcht,Zesstedenweg 182,/basisscholen/grootebroek/4896/uilenburcht/,Katholiek Basisonderwijs334,334.0,Grootebroek,Basic School
Basisschool de Hussel,Dam 20 A,/basisscholen/grootebroek/8819/basisschool-de-hussel/,Katholiek Basisonderwijs213,213.0,Grootebroek,Basic School
School voor Speciaal Basisonderwijs t Palet,Verlengde Raadhuislaan 1,/basisscholen/grootebroek/24993/school-voor-speciaal-basisonderwijs-t-palet/,Algemeen bijzonder,261.0,Grootebroek,Basic School
cbs Jan Kuipers,Noorderdwarslaan 19,/basisscholen/grootegast/6694/cbs-jan-kuipers/,Prot. christelijk,178.0,Grootegast,Basic School
Openbare Basisschool De Molenberg,Bovenweg 56 A,/basisscholen/grootegast/25044/openbare-basisschool-de-molenberg/,Openbaar Basisonderwijs81,81.0,Grootegast,Basic School
Basisschool Christal - school met de Bijbel,Wilgenstraat 47,/basisscholen/grootegast/22687/basisschool-christal-school-met-de-bijbel/,Prot. christelijk,102.0,Grootegast,Basic School
