,Name,Link
150,Berkenwoude,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Berkenwoude&weergave=Lijst
151,Berkhout,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Berkhout&weergave=Lijst
152,Berlicum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Berlicum&weergave=Lijst
153,Berltsum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Berltsum&weergave=Lijst
154,Best,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Best&weergave=Lijst
155,Beugen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beugen&weergave=Lijst
156,Beuningen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beuningen&weergave=Lijst
157,Beuningen (Overijssel),https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beuningen%20(Overijssel)&weergave=Lijst
158,Beusichem,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beusichem&weergave=Lijst
159,Beverwijk,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beverwijk&weergave=Lijst
160,Biddinghuizen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Biddinghuizen&weergave=Lijst
161,Biervliet (Gem. Terneuzen),https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Biervliet%20(Gem.%20Terneuzen)&weergave=Lijst
162,Biest-Houtakker,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Biest-Houtakker&weergave=Lijst
163,Biezenmortel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Biezenmortel&weergave=Lijst
164,Biggekerke,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Biggekerke&weergave=Lijst
165,Bilthoven,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bilthoven&weergave=Lijst
166,Bingelrade,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bingelrade&weergave=Lijst
167,Bitgummole,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bitgummole&weergave=Lijst
168,Bladel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bladel&weergave=Lijst
169,Blaricum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Blaricum&weergave=Lijst
170,Blauwhuis,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Blauwhuis&weergave=Lijst
171,Bleiswijk,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bleiswijk&weergave=Lijst
172,Bleskensgraaf ca,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bleskensgraaf%20ca&weergave=Lijst
173,Blije,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Blije&weergave=Lijst
174,Blijham,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Blijham&weergave=Lijst
175,Blitterswijck,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Blitterswijck&weergave=Lijst
176,Bloemendaal,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bloemendaal&weergave=Lijst
177,Blokker,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Blokker&weergave=Lijst
178,Blokzijl,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Blokzijl&weergave=Lijst
179,Boarnwert,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boarnwert&weergave=Lijst
180,Boazum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boazum&weergave=Lijst
181,Bocholtz,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bocholtz&weergave=Lijst
182,Bodegraven,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bodegraven&weergave=Lijst
183,Boekel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boekel&weergave=Lijst
184,Boelenslaan,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boelenslaan&weergave=Lijst
185,Boerakker (Gem. Westerkwartier - Marum),https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boerakker%20(Gem.%20Westerkwartier%20-%20Marum)&weergave=Lijst
186,Boijl,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boijl&weergave=Lijst
187,Bolsward,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bolsward&weergave=Lijst
188,Boornbergum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boornbergum&weergave=Lijst
189,Borculo,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Borculo&weergave=Lijst
190,Borger,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Borger&weergave=Lijst
191,Born,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Born&weergave=Lijst
192,Borne,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Borne&weergave=Lijst
193,Bornerbroek,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bornerbroek&weergave=Lijst
194,Borssele,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Borssele&weergave=Lijst
195,Boskoop,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boskoop&weergave=Lijst
196,Bosschenhoofd,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bosschenhoofd&weergave=Lijst
197,Bourtange,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bourtange&weergave=Lijst
198,Bovenkarspel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bovenkarspel&weergave=Lijst
199,Boven-Leeuwen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boven-Leeuwen&weergave=Lijst
200,Bovensmilde,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bovensmilde&weergave=Lijst
201,Boxmeer,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boxmeer&weergave=Lijst
202,Boxtel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boxtel&weergave=Lijst
203,Braamt,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Braamt&weergave=Lijst
204,Brakel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Brakel&weergave=Lijst
205,Breda,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Breda&weergave=Lijst
206,Bredevoort,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bredevoort&weergave=Lijst
207,Breedenbroek,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Breedenbroek&weergave=Lijst
208,Breezand,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Breezand&weergave=Lijst
209,Breskens,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Breskens&weergave=Lijst
210,Breukelen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Breukelen&weergave=Lijst
211,Brielle,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Brielle&weergave=Lijst
212,Britsum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Britsum&weergave=Lijst
213,Broek in Waterland,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Broek%20in%20Waterland&weergave=Lijst
214,Broek op Langedijk,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Broek%20op%20Langedijk&weergave=Lijst
