name,address,link,type of education,n_students,neighborhood,type
Portus Juliana,Talingstraat 6,/middelbare-scholen/rotterdam/579/portus-juliana/,Prot. christelijk,399.0,Rotterdam,Middle School
"CBSplus, school voor havo en mavo",Roerdomplaan 42,/middelbare-scholen/rotterdam/582/cbsplus-school-voor-havo-en-mavo/,Prot. christelijk,309.0,Rotterdam,Middle School
Melanchthon Schiebroek,Van Bijnkershoekweg 97,/middelbare-scholen/rotterdam/588/melanchthon-schiebroek/,Prot. christelijk,1059.0,Rotterdam,Middle School
Melanchthon Wilgenplaslaan,Wilgenplaslaan 194,/middelbare-scholen/rotterdam/589/melanchthon-wilgenplaslaan/,Prot. christelijk,398.0,Rotterdam,Middle School
Melanchthon Mavo Schiebroek,Molenvijver 19,/middelbare-scholen/rotterdam/4452/melanchthon-mavo-schiebroek/,Prot. christelijk,331.0,Rotterdam,Middle School
Melanchthon Kralingen,Vredenoordplein 60,/middelbare-scholen/rotterdam/594/melanchthon-kralingen/,Prot. christelijk,419.0,Rotterdam,Middle School
Comenius Dalton Rotterdam,Kromhoutstraat 1 -7,/middelbare-scholen/rotterdam/604/comenius-dalton-rotterdam/,Prot. christelijk,307.0,Rotterdam,Middle School
"Comenius College Chr. SGM voor vwo havo vmbo lwoo, loc. Meerpaal",Kreeftstraat 44,/middelbare-scholen/rotterdam/26522/comenius-college-chr-sgm-voor-vwo-havo-vmbo-lwoo-loc-meerpaal/,Overige Voortgezet,507.0,Rotterdam,Middle School
Zuider Gymnasium,Groene Hilledijk 493,/middelbare-scholen/rotterdam/26152/zuider-gymnasium/,Overige Voortgezet,643.0,Rotterdam,Middle School
"STC vmbo college voor Maritiem en Techniek, technologie en vakmanschap",Anthony Fokkerweg 4,/middelbare-scholen/rotterdam/24560/stc-vmbo-college-voor-maritiem-en-techniek-technologie-en-vakmanschap/,Algemeen bijzonder,279.0,Rotterdam,Middle School
"STC vmbo college voor Maritiem en Techniek, technologie en vakmanschap",Lloydstraat 35,/middelbare-scholen/rotterdam/24901/stc-vmbo-college-voor-maritiem-en-techniek-technologie-en-vakmanschap/,Overige Voortgezet,224.0,Rotterdam,Middle School
"Scholengroep Driestar-Wartburg, locatie Guido de Brès",Smeetslandseweg 127,/middelbare-scholen/rotterdam/26154/scholengroep-driestar-wartburg-locatie-guido-de-bres/,Overige Voortgezet,1493.0,Rotterdam,Middle School
"Scholengroep Driestar-Wartburg, Beroepencollege De Swaef",Carnissesingel 20,/middelbare-scholen/rotterdam/26155/scholengroep-driestar-wartburg-beroepencollege-de-swaef/,Prot. christelijk,619.0,Rotterdam,Middle School
"Scholengroep Driestar Wartburg, locatie Revius",President Rooseveltweg 11,/middelbare-scholen/rotterdam/26150/scholengroep-driestar-wartburg-locatie-revius/,Prot. christelijk,550.0,Rotterdam,Middle School
