,name,address,link,details,n_students,neighborhood,type
5259,Kindcentrum Sterrebos,Verdistraat 79,/basisscholen/oss/8323/kindcentrum-sterrebos/,SamenwerkingBasisonderwijs320 leerlingen,320,Oss,Basic School
5260,R.K. Basisschool De Blinkerd,Troelstrastraat 13,/basisscholen/oss/12027/rk-basisschool-de-blinkerd/,KatholiekBasisonderwijs107 leerlingen,107,Oss,Basic School
5261,Openbare Basisschool Mettegeupel,Litherweg 4,/basisscholen/oss/25022/openbare-basisschool-mettegeupel/,OpenbaarBasisonderwijs130 leerlingen,130,Oss,Basic School
5262,Rooms Katholieke Basisschool 't Paviljoen,Meulenberg 6,/basisscholen/ossendrecht/5285/rooms-katholieke-basisschool-t-paviljoen/,KatholiekBasisonderwijs247 leerlingen,247,Ossendrecht,Basic School
5263,Basisschool Eben Haezer,Schoolstraat 8,/basisscholen/ossenzijl/5967/basisschool-eben-haezer/,Prot. christelijkBasisonderwijs35 leerlingen,35,Ossenzijl,Basic School
5264,Ericaschool,Kerklaan 1,/basisscholen/otterlo/10903/ericaschool/,OpenbaarBasisonderwijs135 leerlingenNieuw / natuurlijk / conceptueel leren,135,Otterlo,Basic School
5265,Basisschool De Brink,Brink 20,/basisscholen/ottersum/9043/basisschool-de-brink/,KatholiekBasisonderwijs236 leerlingen,236,Ottersum,Basic School
5266,Basisschool Eben Haezer,B 115,/basisscholen/ottoland/5115/basisschool-eben-haezer/,Prot. christelijkBasisonderwijs69 leerlingen,69,Ottoland,Basic School
5267,Basisschool TaLente,Schoolstraat 5,/basisscholen/oud-gastel/5007/basisschool-talente/,KatholiekBasisonderwijs355 leerlingen,355,Oud Gastel,Basic School
5268,Openbare Basisschool De Linde,Schoolstraat 3,/basisscholen/oud-gastel/10289/openbare-basisschool-de-linde/,OpenbaarBasisonderwijs139 leerlingen,139,Oud Gastel,Basic School
5269,Groen van Prinsterer,Schoolstraat 20,/basisscholen/oud-alblas/9065/groen-van-prinsterer/,Prot. christelijkBasisonderwijs195 leerlingen,195,Oud-Alblas,Basic School
5270,Eben-Haëzerschool - Reformatorische Basisschool,Laningpad 3,/basisscholen/oud-beijerland/22529/eben-haezerschool-reformatorische-basisschool/,Prot. christelijkBasisonderwijs360 leerlingen,360,Oud-Beijerland,Basic School
